year,site,male_weight,gynomorph_weight,andomorph_weight,male_total_length,gynomorph_total_length,andomorph_total_length,andromorph_egg,gynomorph_egg,andro_s4volume,gyno_s4volume
2015,SUST1,7.2,13.2,13.8,21.767,22.298,23.203,35,0,2.290637305,2.416434529
2015,SUST1,7.1,11,15.8,21.299,23.613,24.157,17,0,2.413300791,1.881166831
2015,SUST1,7,12.8,16.4,21.638,22.203,23.703,17,0,2.490788173,2.338040797
2015,SUST1,6.3,16.8,17.3,21.921,22.025,23.47,25,0,2.148155083,2.001262065
2015,SUST1,7.2,10.1,15.1,20.045,21.981,22.636,48,0,2.989728065,2.246009411
2015,SUST1,7.1,11.3,14.6,20.939,22.863,23.492,36,25,2.467164967,2.18969008
2015,SUST1,5.8,12,17.2,21.307,22.265,23.885,23,0,2.280383147,2.319145688
2015,SUST1,6.5,11.1,12.7,21.257,22.233,22.673,27,0,2.562980402,2.086174602
2015,SUST1,6.4,11.5,17.3,19.737,21.033,22.814,36,0,2.467746162,2.103949733
2015,SUST1,5.6,10.6,18.5,21.836,22.831,23.24,20,0,2.229657421,2.016571046
2015,SUST1,7.8,11.8,18.1,21.473,22.509,23.942,,,2.045013455,2.209149104
2015,SUST1,5.8,9.2,16.4,19.558,22.859,23.122,,,2.251733393,2.21943782
2015,SUST1,7.9,9.6,14.3,21.137,22.415,23.387,,,2.313176662,2.105790706
2015,SUST1,6.8,13.5,14.6,21.999,22.844,23.275,,,2.294666398,2.492157908
2015,SUST1,7.1,13.2,13.1,20.952,22.063,22.932,,,2.433868798,2.082198916
2015,SUST1,7.5,11.5,13.8,22.265,21.914,22.728,,,2.44164581,2.197608464
2015,SUST1,6.5,11.7,15,21.769,23.335,23.794,,,2.549290912,2.696523222
2015,SUST1,5.9,13.2,16.3,21.893,21.841,21.433,,,2.457419747,1.973096116
2015,SUST1,6.4,8.2,13.4,20.758,22.431,23.84,,,2.635758537,2.118121457
2015,SUST1,7.8,8.7,15.4,22.155,22.394,21.313,,,2.225353439,2.291127394
2015,SUST1,5.9,13.1,12.4,20.404,21.394,23.746,,,2.744561316,1.629167118
2015,SUST1,6.7,10.5,18,22.45,22.478,23.126,,,2.700403089,2.049614317
