wl,Male 1,Male 2,Male 3,Male 4,Male 5,Male 6,Male 7,Male 8,Male 9,Male 10,Male 11,Andromorph 1,Andromorph 2,Andromorph 3,Andromorph 4,Andromorph 5,Andromorph 6,Andromorph 7,Andromorph 8,Andromorph 9,Andromorph 10,Andromorph 11,Andromorph 11 1,Andromorph 12,Andromorph 13,Andromorph 14,Andromorph 15,Andromorph 16,Andromorph 17,Gynomorph 1,Gynomorph 2,Gynomorph 3,Gynomorph 4,Gynomorph 5,Gynomorph 6,Gynomorph 7,Gynomorph 8,Gynomorph 9,Gynomorph 10,Gynomorph 11,Gynomorph 12,Gynomorph 13,Gynomorph 14,Gynomorph 15,Gynomorph 16,Gynomorph 17,Gynomorph 18,Gynomorph 19,Gynomorph 20,bkg 1,bkg 2,bkg 3,bkg 4,bkg 5,bkg 6,bkg 7,bkg 8,bkg 9,bkg 10,bkg 11,bkg 12,bkg 13,bkg 14,bkg 15,bkg 16,bkg 17,bkg 18,bkg 19,bkg 20,bkg 21
300,6.131666667,3.716666667,2.893333333,3.755,4.07,3.345,4.3375,2.341666667,4.24,5.638,2.2875,3.75,3.49,2.11,2.466666667,1.518,3.502,2.893333333,3.9775,3.55,3.16,3.045,2.56,2.83,5.2875,5.843333333,2.805,3.36,4.3,2.05,2.5125,0.92,3.504,1.6,2.596,2.7275,1.792,3.42,1.468,1.9,1.245,1.5375,2.101666667,2.1975,1.495,2.653333333,3.7225,2.1,1.166666667,6.688897849,8.718870968,9.92483871,7.871792115,10.35150538,3.477777778,8.695430108,10.49389785,6.345591398,11.6602509,10.11426523,8.8509319,12.81591398,3.573727599,11.15949821,6.593512545,9.965913978,7.19702509,8.295125448,5.940358423,5.267706093
301,6.137969452,3.751455526,2.942030548,3.799454178,4.100575023,3.346954178,4.368477089,2.369636119,4.230253369,5.610943396,2.306954178,3.768908356,3.483180593,2.125,2.495363881,1.574,3.537908356,2.925211141,4.002385445,3.558690027,3.17703504,3.049339623,2.602183288,2.869272237,5.232702156,5.807663971,2.779339623,3.293602875,4.288362534,2.063973816,2.483908356,0.914636119,3.549309973,1.614339623,2.613908356,2.756408356,1.803471698,3.443477089,1.490598383,1.904339623,1.244847259,1.541408356,2.098180593,2.213362534,1.490316712,2.621725067,3.686206199,2.073180593,1.168544474,6.817297844,8.636091644,10.02654987,7.954483378,10.30168913,3.521725067,8.862587601,10.57071429,6.478122192,11.88842767,10.1209973,9.03279425,12.81839173,3.691761006,11.30045822,6.676397125,10.03632075,7.219083558,8.434519317,6.171913747,5.473486074
302,6.165440251,3.730862534,2.932605571,3.806954178,4.089712489,3.375,4.372830189,2.405363881,4.252264151,5.626172507,2.375977089,3.765431267,3.49507637,2.161886792,2.492605571,1.562781671,3.528345013,2.93,3.984784367,3.548954178,3.194264151,3.057284367,2.653045822,2.909712489,5.252931267,5.864636119,2.851522911,3.326226415,4.343692722,2.084351174,2.4925,0.931743037,3.558080863,1.6125,2.577908356,2.704885445,1.792,3.428692722,1.471126685,1.892715633,1.22884097,1.527068733,2.099492363,2.199669811,1.496522911,2.638544475,3.726307278,2.111590297,1.166015274,6.97893531,8.827412399,10.00045822,8.013773585,10.1908805,3.397394429,8.870660377,10.6286186,6.607987421,11.95480683,10.09306379,9.114501348,12.7214735,3.587681941,11.37017071,6.732506739,10.03188005,7.09754717,8.446990117,6.142911051,5.508445642
303,6.175,3.7,2.913333333,3.8175,4.093333333,3.395,4.3975,2.448333333,4.254,5.582,2.3675,3.79,3.51,2.165,2.48,1.572,3.522,2.94,3.98,3.556,3.208,3.095,2.64,2.936666667,5.2125,5.786666667,2.82,3.303333333,4.295,2.081428571,2.46,0.926666667,3.552,1.6,2.572,2.685,1.796,3.3925,1.45,1.8975,1.24,1.5425,2.098333333,2.18,1.5225,2.57,3.8,2.076666667,1.185,7.2675,9.08,10.19,8.25,10.38333333,3.59,8.955,10.9475,6.826666667,12.19666667,10.45666667,9.276666667,12.98,3.893333333,11.6,7.153333333,10.3,7.303333333,8.84,6.523333333,5.81
304,6.19,3.661743037,2.955651393,3.869238544,4.149272237,3.393477089,4.425431267,2.47992363,4.273126685,5.523654987,2.369669811,3.816954178,3.550287511,2.235498653,2.457969452,1.608,3.554,2.968697215,4.000215633,3.573563342,3.22251752,3.127385445,2.653908356,2.969559749,5.132830189,5.774061096,2.810431267,3.288697215,4.244022911,2.125213708,2.505431267,0.951590297,3.500436658,1.646192722,2.609390836,2.704022911,1.837735849,3.414022911,1.48651752,1.912715633,1.247969452,1.540215633,2.109128482,2.180215633,1.520215633,2.541590297,3.836192722,2.024348607,1.202749326,7.478450135,9.311725067,10.34040431,8.576208446,10.46214735,3.737798742,9.165202156,11.34462938,7.241096137,12.61111411,10.81950584,9.359119497,13.34735849,4.064312668,11.67532794,7.416630728,10.38964286,7.500826595,8.955040431,6.573602875,5.962875112
305,6.160363881,3.722030548,2.974366577,3.887614555,4.153638814,3.386954178,4.413362534,2.466226415,4.223654987,5.531816712,2.411408356,3.797816712,3.559272237,2.236302785,2.468849955,1.648781671,3.564274933,3.001455526,4.006752022,3.545563342,3.202781671,3.124454178,2.67,2.961302785,5.1425,5.766091644,2.857385445,3.320575023,4.295862534,2.139195225,2.512614555,0.963333333,3.506873315,1.673706199,2.639746631,2.705229111,1.858873315,3.411637466,1.502619946,1.880545822,1.210727763,1.515545822,2.073333333,2.186408356,1.496408356,2.599847259,3.809137466,2.038697215,1.195287511,7.625660377,9.370687332,10.61563342,8.754483378,10.36230009,3.815938904,9.228504043,11.49543127,7.388697215,12.62260557,10.88206649,9.274636119,13.38758311,4.003063792,11.63839173,7.553638814,10.45345013,7.563333333,9.009002695,6.584402516,5.769155436
306,6.115332435,3.725480683,2.879775382,3.844555256,4.095777179,3.404110512,4.437944744,2.503149147,4.254177898,5.553024259,2.477169811,3.805889488,3.502740341,2.219555256,2.480368373,1.633466307,3.51328841,2.962740341,3.950943396,3.55871159,3.237423181,3.13111186,2.69,2.995112309,5.19111186,5.769631627,2.89083558,3.346001797,4.353557951,2.104824798,2.45138814,0.922740341,3.508221024,1.634555256,2.594043127,2.658221024,1.804221024,3.36027628,1.450932615,1.898167116,1.228333333,1.555222372,2.103000899,2.21861186,1.5125,2.664519317,3.800613208,2.058077268,1.214519317,7.693598383,9.403544474,10.97043127,8.864141959,10.41850854,3.831769991,9.401765499,11.56233154,7.316136568,12.61155436,10.8251752,9.366657682,13.39843666,3.963252471,11.63955076,7.628140162,10.52582884,7.446208446,8.99754717,6.440359389,5.748436658
307,6.09106469,3.67901168,2.801419587,3.850208895,4.073827493,3.41180593,4.462708895,2.542515723,4.265444744,5.555832884,2.550902965,3.815,3.504537287,2.221203953,2.4137646,1.625444744,3.499444744,2.954321653,3.936273585,3.574592992,3.245148248,3.166273585,2.70212938,3.035031447,5.194467655,5.813333333,2.921967655,3.399784366,4.40787062,2.107658837,2.449838275,0.914043126,3.444091644,1.60287062,2.537574124,2.611273585,1.763018868,3.30856469,1.433444744,1.923773585,1.24024708,1.56287062,2.124537287,2.24680593,1.52680593,2.67574124,3.84462938,2.109784366,1.23893531,7.64717655,9.35222372,10.86509434,8.80524708,10.36700809,3.778301887,9.31032345,11.69690027,7.262255166,12.74836478,10.86771788,9.3562354,13.51176101,4.108274933,11.78231806,7.675372866,10.70057951,7.346451033,8.912686433,6.30787062,5.81296496
308,6.069537287,3.680296496,2.728580413,3.841138814,4.033728661,3.402277628,4.442425876,2.54313567,4.253762803,5.531940701,2.584777628,3.789703504,3.493629829,2.235296496,2.415345912,1.596355795,3.443266846,2.915148248,3.860444744,3.567762803,3.24497035,3.157425876,2.699407008,3.044851752,5.20962938,5.772938006,2.89606469,3.412938006,4.423490566,2.091894494,2.445148248,0.913629829,3.428533693,1.562648248,2.484237197,2.544009434,1.722118598,3.256509434,1.384296496,1.913638814,1.249802336,1.576138814,2.110759209,2.207574124,1.510990566,2.671419587,3.827203504,2.128086254,1.220660378,7.671314016,9.483814016,11.10059299,8.896864331,10.42587601,3.589209344,9.244649596,11.74980458,7.168185085,12.40672956,10.89254268,9.309110512,13.60141959,4.169604672,11.86788859,7.765184187,10.6775,7.286864331,8.883333333,6.439407008,5.897987421
309,6.037954955,3.619387387,2.675441442,3.823621622,4.005441442,3.373567568,4.448418919,2.553432432,4.237751351,5.532205405,2.585256757,3.778567568,3.498432432,2.234963964,2.433945946,1.585427027,3.414324324,2.910612613,3.827702703,3.571221622,3.237794595,3.155662162,2.702648649,3.042990991,5.192040541,5.757207207,2.914081081,3.427891892,4.422756757,2.084254826,2.455405405,0.919387387,3.409102703,1.540202703,2.461264865,2.523621622,1.70052973,3.203824324,1.363794595,1.894283784,1.245135135,1.554283784,2.101765766,2.174945946,1.507243243,2.666594594,3.825,2.088162162,1.188603604,7.617040541,9.47772973,11.07448649,8.881891892,10.49789189,3.464162162,9.007648649,11.77786486,7.098018018,12.22306306,10.78828829,9.246594595,13.56727928,4.076396396,11.80311712,7.638630631,10.58739189,7.243945946,8.810396396,6.212378378,5.820684685
