"","female","abd_freq","beta","mat_freq"
"1","green",0.1987179487,0.979751796,0.9230769231
"2","green",0.2297297297,0.964059197,0.8888888889
"3","green",0.4324324324,0.961445783,0.95
"4","green",0.5555555556,0.827586207,0.8571428571
"5","green",0.2520325203,0.949711459,0.8888888889
"6","green",0.4141414141,0.954994512,0.9375
"7","green",0.4038461538,0.977173913,0.9666666667
"8","red",0.8012820513,0.020248204,0.07692307692
"9","red",0.7702702703,0.035940803,0.1111111111
"10","red",0.5675675676,0.038554217,0.05
"11","red",0.4444444444,0.172413793,0.1428571429
"12","red",0.7479674797,0.050288541,0.1111111111
"13","red",0.5858585859,0.045005488,0.0625
"14","red",0.5961538462,0.022826087,0.03333333333
