wl,Male 1,Male 2,Male 3,Male 4,Male 5,Male 6,Male 7,Male 8,Male 9,Male 10,Male 11,Male 12,Male 13,Male 14,Male 15,Male 16,Male 17,Male 18,Male 19,Male 20,Male 21,Male 22,Andromorph 1,Andromorph 2,Andromorph 3,Andromorph 4,Andromorph 5,Andromorph 6,Andromorph 7,Andromorph 8,Andromorph 9,Andromorph 10,Andromorph 11,Andromorph 11 1,Andromorph 12,Andromorph 13,Andromorph 14,Andromorph 15,Andromorph 16,Andromorph 17,Andromorph 18,Andromorph 19,Gynomorph 1,Gynomorph 2,Gynomorph 3,Gynomorph 4,Gynomorph 5,Gynomorph 6,Gynomorph 7,Gynomorph 8,Gynomorph 9,Gynomorph 10,Gynomorph 11,Gynomorph 12,Gynomorph 13,Gynomorph 14,Gynomorph 15,Gynomorph 16,Gynomorph 17,Gynomorph 18,Gynomorph 19,Gynomorph 20,Gynomorph 21,bkg 1,bkg 2,bkg 3,bkg 4,bkg 5,bkg 6,bkg 7,bkg 8,bkg 9,bkg 10,bkg 11,bkg 12,bkg 13,bkg 14,bkg 15,bkg 16,bkg 17,bkg 18,bkg 19,bkg 20,bkg 21
300,2.813333333,2.058333333,8.7475,3.4975,4.543333333,7.922,3.99,6.796666667,1.308,9.05,6.368,4.8075,2.8475,4.858333333,3.3,3.0775,7.535,6.485,3.6675,10.1175,4.543333333,3.4,1.53,3.416666667,3.4975,2.482,7.026,7.0425,1.82,6.59,4.742,2.933333333,4.9325,1.7325,2.22,6.405,8.195,2.505,4.235,2.46,8.886666667,4.6225,1.832857143,2.81,1.23,1.095,0.863333333,0.893333333,3.2325,1.25,0.98,1.235,1.265,1.445,1.16,1.19,0.94,1.525,1.12,1.668,1.61,1.55,2.42,6.688897849,8.718870968,9.92483871,7.871792115,10.35150538,3.477777778,8.695430108,10.49389785,6.345591398,11.6602509,10.11426523,8.8509319,12.81591398,3.573727599,11.15949821,6.593512545,9.965913978,7.19702509,8.295125448,5.940358423,5.267706093
301,2.837816712,2.090651393,8.822729111,3.522614555,4.537893082,7.900598383,4.104803235,6.82,1.342690027,9.082253369,6.390253369,4.825862534,2.864339623,4.864483379,3.318544474,3.114022911,7.540862534,6.501839623,3.693908356,10.09836253,4.551877808,3.405431267,1.555363881,3.418544474,3.522614555,2.476345013,7.048,7.074568733,1.840575023,6.621471698,4.799654987,3.002030548,4.959022911,1.766954178,2.222816712,6.389770889,8.151725067,2.466725067,4.261954178,2.460862534,8.849119497,4.613793801,1.82200231,2.817412399,1.243045822,1.069885445,0.860575023,0.939636119,3.234225067,1.247816712,0.980747978,1.250134771,1.2975,1.472931267,1.147816712,1.188690027,0.937270889,1.526839623,1.125938904,1.64303504,1.556610512,1.530422282,2.399885445,6.817297844,8.636091644,10.02654987,7.954483378,10.30168913,3.521725067,8.862587601,10.57071429,6.478122192,11.88842767,10.1209973,9.03279425,12.81839173,3.691761006,11.30045822,6.676397125,10.03632075,7.219083558,8.434519317,6.171913747,5.473486074
302,2.827969452,2.098553459,8.825862534,3.565660377,4.553773585,7.919218329,4.151126685,6.79984726,1.361919137,9.059126685,6.344690027,4.843045822,2.851738544,4.84615903,3.315363881,3.145,7.5718531,6.518261456,3.800330189,10.12793127,4.617394429,3.494784367,1.547681941,3.404636119,3.565660377,2.54148248,7.118355795,7.071623989,1.826666667,6.606172507,4.811563342,3.028984726,4.988045822,1.7725,2.21,6.399568733,8.123045822,2.47,4.328045822,2.553261456,8.890575023,4.664238544,1.853103581,2.858333333,1.244568733,1.075545822,0.9012354,0.918180593,3.186623989,1.203908356,0.951192722,1.232318059,1.290431267,1.441954178,1.144238544,1.195045822,0.938045822,1.518477089,1.125938904,1.622,1.603261456,1.587969452,2.436954178,6.97893531,8.827412399,10.00045822,8.013773585,10.1908805,3.397394429,8.870660377,10.6286186,6.607987421,11.95480683,10.09306379,9.114501348,12.7214735,3.587681941,11.37017071,6.732506739,10.03188005,7.09754717,8.446990117,6.142911051,5.508445642
303,2.84,2.125,8.785,3.59,4.536666667,7.892,4.18,6.756666667,1.384,9.016,6.306,4.8575,2.865,4.855,3.35,3.16,7.61,6.5225,3.7875,10.055,4.626666667,3.4825,1.573333333,3.4,3.59,2.556,7.164,7.045,1.84,6.594,4.816,3.046666667,4.985,1.8025,2.195,6.4125,8.125,2.44,4.36,2.545,8.846666667,4.6225,1.782857143,2.768333333,1.24,1.075,0.898333333,0.903333333,3.145,1.22,0.9225,1.228333333,1.265,1.435,1.1275,1.224,0.9475,1.495,1.123333333,1.624,1.5525,1.553333333,2.385,7.2675,9.08,10.19,8.25,10.38333333,3.59,8.955,10.9475,6.826666667,12.19666667,10.45666667,9.276666667,12.98,3.893333333,11.6,7.153333333,10.3,7.303333333,8.84,6.523333333,5.81
304,2.855363881,2.149779874,8.710545822,3.614669811,4.555575023,7.881563342,4.180781671,6.634501347,1.457735849,9.031218329,6.310609164,4.881522911,2.884022911,4.858256963,3.361302785,3.181954178,7.608045822,6.510545822,3.746954178,9.998591644,4.548984726,3.462715633,1.606226415,3.411302785,3.614669811,2.585735849,7.237299191,6.969137466,1.889272237,6.590436658,4.815218329,3.123180593,5.019669811,1.843908356,2.235,6.401522911,8.089568733,2.423477089,4.313045822,2.501522911,8.746244384,4.621408356,1.844532153,2.755660377,1.258908356,1.1031469,0.9437646,0.847106918,3.181954178,1.25,0.958477089,1.242681941,1.290215633,1.418045822,1.145977089,1.243908356,0.950431267,1.494669811,1.139559749,1.632172507,1.5131469,1.495651393,2.349784367,7.478450135,9.311725067,10.34040431,8.576208446,10.46214735,3.737798742,9.165202156,11.34462938,7.241096137,12.61111411,10.81950584,9.359119497,13.34735849,4.064312668,11.67532794,7.416630728,10.38964286,7.500826595,8.955040431,6.573602875,5.962875112
305,2.838122192,2.139348607,8.690229111,3.623477089,4.543045822,7.837746631,4.257816712,6.59769991,1.505654987,9.004183288,6.31071159,4.888160377,2.871637466,4.823409704,3.339272237,3.182385445,7.546091644,6.450114555,3.768477089,9.965,4.575938904,3.499770889,1.605211141,3.377394429,3.623477089,2.581908356,7.226,6.948160377,1.926819407,6.584274933,4.849401617,3.171302785,4.978706199,1.838045822,2.225,6.363591644,8.037183288,2.458908356,4.348679245,2.536293801,8.708849955,4.666954178,1.848047748,2.68492363,1.248045822,1.097614555,0.951954178,0.855727763,3.183160377,1.322183288,0.982614555,1.249577718,1.319137466,1.458591644,1.140862534,1.241563342,0.936522911,1.434022911,1.140575023,1.584873315,1.541954178,1.523180593,2.362816712,7.625660377,9.370687332,10.61563342,8.754483378,10.36230009,3.815938904,9.228504043,11.49543127,7.388697215,12.62260557,10.88206649,9.274636119,13.38758311,4.003063792,11.63839173,7.553638814,10.45345013,7.563333333,9.009002695,6.584402516,5.769155436
306,2.849110512,2.166370171,8.661442049,3.612055256,4.471073675,7.738619946,4.333466307,6.560368373,1.486398922,8.925687332,6.236398922,4.83027628,2.87888814,4.830184187,3.400889488,3.205889488,7.53388814,6.431165768,3.809447439,9.965889488,4.595112309,3.552392183,1.656370171,3.393926325,3.612055256,2.54671159,7.197644205,6.940498652,1.903036837,6.505865229,4.818043127,3.152740341,4.974110512,1.879501348,2.251334232,6.334555256,8.019555256,2.493113208,4.420336927,2.597890836,8.662668464,4.725168464,1.938221024,2.739110512,1.17777628,1.043221024,0.914110512,0.875332435,3.106886792,1.280889488,0.962331536,1.190777179,1.266610512,1.407553908,1.165667116,1.257423181,0.962944744,1.460222372,1.164222821,1.59528841,1.582890836,1.577484276,2.39333558,7.693598383,9.403544474,10.97043127,8.864141959,10.41850854,3.831769991,9.401765499,11.56233154,7.316136568,12.61155436,10.8251752,9.366657682,13.39843666,3.963252471,11.63955076,7.628140162,10.52582884,7.446208446,8.99754717,6.440359389,5.748436658
307,2.82524708,2.17442947,8.582291105,3.617708895,4.45975292,7.652814016,4.266814016,6.47114106,1.458167116,8.867703504,6.180425876,4.804838275,2.853402965,4.828256963,3.43361186,3.229144205,7.518773585,6.410902965,3.874838275,9.953032345,4.613827493,3.618402965,1.659784366,3.414321653,3.617708895,2.581018868,7.178,6.8306469,1.882407907,6.454296496,4.80587062,3.117160827,4.945532345,1.92430593,2.29361186,6.316597035,7.98393531,2.52787062,4.46893531,2.622338275,8.640925427,4.76893531,1.917262226,2.761451033,1.18361186,1.039838275,0.918580413,0.812560647,3.01856469,1.25212938,0.91680593,1.167160827,1.23680593,1.38717655,1.174467655,1.286296496,0.990208895,1.459467655,1.186451033,1.591574124,1.64824124,1.6068823,2.456273585,7.64717655,9.35222372,10.86509434,8.80524708,10.36700809,3.778301887,9.31032345,11.69690027,7.262255166,12.74836478,10.86771788,9.3562354,13.51176101,4.108274933,11.78231806,7.675372866,10.70057951,7.346451033,8.912686433,6.30787062,5.81296496
308,2.791617251,2.153086254,8.575296496,3.599157682,4.434586702,7.594652291,4.278177898,6.451814915,1.42502965,8.800296496,6.098355795,4.766361186,2.83356469,4.808432165,3.466271339,3.221138814,7.503712938,6.378861186,3.875916442,9.939777628,4.581617251,3.604777628,1.667789758,3.419802336,3.599157682,2.579266846,7.137385445,6.801583558,1.851913746,6.391326146,4.731385445,3.076765498,4.938712938,1.909777628,2.289703504,6.306212938,7.957574124,2.557277628,4.49,2.62856469,8.566567835,4.778268194,1.832291105,2.688629829,1.202722372,1.031509434,0.910296496,0.811401617,2.934380054,1.165148248,0.869009434,1.107061994,1.18537062,1.353787062,1.152203504,1.266792453,0.971138814,1.432648248,1.156469003,1.599822102,1.670990566,1.568283918,2.457277628,7.671314016,9.483814016,11.10059299,8.896864331,10.42587601,3.589209344,9.244649596,11.74980458,7.168185085,12.40672956,10.89254268,9.309110512,13.60141959,4.169604672,11.86788859,7.765184187,10.6775,7.286864331,8.883333333,6.439407008,5.897987421
309,2.776054054,2.149216216,8.560202703,3.608364865,4.43145946,7.545221622,4.294,6.426666667,1.427264865,8.725383784,6.061427027,4.736783784,2.83,4.783468469,3.511225225,3.222905405,7.490608108,6.356783784,3.904540541,9.910662162,4.567819819,3.624540541,1.680882883,3.432990991,3.608364865,2.580691892,7.137589189,6.772756757,1.826054054,6.357427027,4.693427027,3.09,4.933364865,1.926324324,2.284486486,6.298824324,7.952243243,2.561837838,4.474081081,2.606581081,8.511153153,4.795202703,1.783552123,2.622648649,1.177756757,1.023162162,0.906630631,0.796225225,2.875662162,1.138162162,0.843364865,1.086495495,1.148364865,1.334945946,1.132445946,1.235956757,0.969945946,1.407905405,1.13754955,1.593589189,1.678364865,1.533603604,2.395,7.617040541,9.47772973,11.07448649,8.881891892,10.49789189,3.464162162,9.007648649,11.77786486,7.098018018,12.22306306,10.78828829,9.246594595,13.56727928,4.076396396,11.80311712,7.638630631,10.58739189,7.243945946,8.810396396,6.212378378,5.820684685
